species	strain	sex	two_choice	preference_index	%_feeding	assay_type
D. sechellia	28	female	noni juice vs grape juice	-0.34782608695652173	0.9078947368421053	72-well colorimetric
D. sechellia	07	male	noni juice vs grape juice	-0.6756756756756757	0.8705882352941177	72-well colorimetric
D. sechellia	28	male	noni juice vs grape juice	-0.7230769230769231	0.8125	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.5394736842105263	0.987012987012987	72-well colorimetric
D. melanogaster	Canton-S	female	noni juice vs grape juice	-0.8813559322033898	0.7662337662337663	72-well colorimetric
D. melanogaster	Canton-S	male	noni juice vs grape juice	-0.8676470588235294	0.9066666666666666	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.47368421052631576	0.9743589743589743	72-well colorimetric
D. simulans	04	male	noni juice vs grape juice	-0.5245901639344263	0.7261904761904762	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.6309523809523809	1	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.6388888888888888	0.9473684210526316	72-well colorimetric
D. melanogaster	Canton-S	female	noni juice vs grape juice	-0.8461538461538461	0.9512195121951219	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.35064935064935066	0.9625	72-well colorimetric
D. melanogaster	Canton-S	male	noni juice vs grape juice	-0.8378378378378378	0.961038961038961	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.7733333333333333	0.9493670886075949	72-well colorimetric
D. simulans	196	female	noni juice vs grape juice	-0.7105263157894737	0.9047619047619048	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.36	0.9375	72-well colorimetric
D. simulans	196	male	noni juice vs grape juice	-0.6206896551724138	0.7341772151898734	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.8607594936708861	0.9875	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.5	1	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.620253164556962	0.9875	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.922077922077922	0.9746835443037974	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.9154929577464788	0.9342105263157895	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.525	1	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.6962025316455697	0.9875	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.19230769230769232	0.975	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.1794871794871795	0.9873417721518988	72-well colorimetric
D. sechellia	28	male	noni juice vs grape juice	0.10909090909090909	0.7051282051282051	72-well colorimetric
D. simulans	196	male	noni juice vs grape juice	-0.5161290322580645	0.7848101265822784	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.8607594936708861	0.9634146341463414	72-well colorimetric
D. simulans	196	female	noni juice vs grape juice	-0.9054054054054054	0.9135802469135803	72-well colorimetric
D. sechellia	28	male	noni juice vs grape juice	0.136986301369863	0.8902439024390244	72-well colorimetric
D. simulans	196	female	noni juice vs grape juice	-0.775	1	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.410958904109589	0.9733333333333334	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.44	0.9615384615384616	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.7307692307692307	0.9873417721518988	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.3815789473684211	0.95	72-well colorimetric
D. simulans	196	female	noni juice vs grape juice	-0.6585365853658537	1	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.9493670886075948	0.9875	72-well colorimetric
D. sechellia	28	male	noni juice vs grape juice	0.01639344262295082	0.8026315789473684	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.9625	1	72-well colorimetric
D. simulans	196	female	noni juice vs grape juice	-0.775	1	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.7530864197530864	1	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.5875	1	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.6329113924050633	1	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.8533333333333334	1	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.05	0.9876543209876543	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.9090909090909092	0.9871794871794872	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.03947368421052631	0.9382716049382716	72-well colorimetric
D. simulans	196	male	noni juice vs grape juice	-0.8142857142857143	0.8860759493670887	72-well colorimetric
D. sechellia	28	male	noni juice vs grape juice	-0.05797101449275362	0.8846153846153846	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.06666666666666667	0.9615384615384616	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.5822784810126582	0.9875	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.45	1	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.8961038961038961	0.9625	72-well colorimetric
D. simulans	196	female	noni juice vs grape juice	-0.8701298701298701	0.9625	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.24050632911392408	1	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.5949367088607594	1	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.8589743589743589	0.9873417721518988	72-well colorimetric
D. melanogaster	Oregon-R	male	noni juice vs grape juice	-0.8831168831168831	0.9746835443037974	72-well colorimetric
D. melanogaster	Oregon-R	female	noni juice vs grape juice	-0.625	1	72-well colorimetric
D. sechellia	28	female	noni juice vs grape juice	0.38666666666666666	0.9375	72-well colorimetric
D. simulans	196	female	noni juice vs grape juice	-0.868421052631579	0.95	72-well colorimetric
D. simulans	196	male	noni juice vs grape juice	-0.6515151515151515	0.868421052631579	72-well colorimetric
D. simulans	196	male	noni juice vs grape juice	-0.6363636363636364	0.8571428571428572	72-well colorimetric
D. sechellia	07	female	noni juice vs grape juice	0.05633802816901408	0.8987341772151899	72-well colorimetric
D. sechellia	07	male	noni juice vs grape juice	-0.16	0.9375	72-well colorimetric
D. sechellia	07	female	noni juice vs grape juice	-0.6962025316455697	1	72-well colorimetric
D. sechellia	07	female	noni juice vs grape juice	0.01298701298701298	0.9625	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.26582278481012656	1	72-well colorimetric
D. sechellia	07	female	noni juice vs grape juice	-0.6621621621621622	0.925	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.6794871794871795	0.975	72-well colorimetric
D. sechellia	07	male	noni juice vs grape juice	-0.7121212121212122	0.868421052631579	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.625	1	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.7402597402597403	0.9871794871794872	72-well colorimetric
D. melanogaster	Canton-S	male	noni juice vs grape juice	-0.6666666666666666	0.9873417721518988	72-well colorimetric
D. sechellia	07	female	noni juice vs grape juice	0.16901408450704225	0.8987341772151899	72-well colorimetric
D. melanogaster	Canton-S	female	noni juice vs grape juice	-0.8311688311688312	0.9871794871794872	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.7012987012987013	0.9871794871794872	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.6375	1	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.6962025316455697	1	72-well colorimetric
D. simulans	04	male	noni juice vs grape juice	-0.5138888888888888	0.9113924050632911	72-well colorimetric
D. simulans	04	female	noni juice vs grape juice	-0.759493670886076	0.9875	72-well colorimetric
