fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
fly_1	D. sechellia	07	female	noni juice vs grape juice	noni_juice	187
fly_1	D. sechellia	07	female	noni juice vs grape juice	grape_juice	235
fly_2	D. sechellia	07	female	noni juice vs grape juice	noni_juice	545
fly_2	D. sechellia	07	female	noni juice vs grape juice	grape_juice	250
fly_3	D. sechellia	07	female	noni juice vs grape juice	noni_juice	93
fly_3	D. sechellia	07	female	noni juice vs grape juice	grape_juice	98
fly_4	D. sechellia	07	female	noni juice vs grape juice	noni_juice	543
fly_4	D. sechellia	07	female	noni juice vs grape juice	grape_juice	127
fly_5	D. sechellia	07	female	noni juice vs grape juice	noni_juice	131
fly_5	D. sechellia	07	female	noni juice vs grape juice	grape_juice	470
fly_6	D. simulans	04	female	noni juice vs grape juice	noni_juice	78
fly_6	D. simulans	04	female	noni juice vs grape juice	grape_juice	642
fly_7	D. simulans	04	female	noni juice vs grape juice	noni_juice	156
fly_7	D. simulans	04	female	noni juice vs grape juice	grape_juice	759
fly_8	D. simulans	04	female	noni juice vs grape juice	noni_juice	399
fly_8	D. simulans	04	female	noni juice vs grape juice	grape_juice	481
fly_9	D. simulans	04	female	noni juice vs grape juice	noni_juice	133
fly_9	D. simulans	04	female	noni juice vs grape juice	grape_juice	304
fly_10	D. simulans	04	female	noni juice vs grape juice	noni_juice	371
fly_10	D. simulans	04	female	noni juice vs grape juice	grape_juice	799
fly_11	D. simulans	04	female	noni juice vs grape juice	noni_juice	295
fly_11	D. simulans	04	female	noni juice vs grape juice	grape_juice	1276
fly_12	D. sechellia	07	female	noni juice vs grape juice	noni_juice	133
fly_12	D. sechellia	07	female	noni juice vs grape juice	grape_juice	77
fly_13	D. sechellia	07	female	noni juice vs grape juice	noni_juice	164
fly_13	D. sechellia	07	female	noni juice vs grape juice	grape_juice	47
fly_14	D. sechellia	07	female	noni juice vs grape juice	noni_juice	117
fly_14	D. sechellia	07	female	noni juice vs grape juice	grape_juice	12
fly_15	D. sechellia	07	female	noni juice vs grape juice	noni_juice	143
fly_15	D. sechellia	07	female	noni juice vs grape juice	grape_juice	70
fly_16	D. simulans	04	female	noni juice vs grape juice	noni_juice	19
fly_16	D. simulans	04	female	noni juice vs grape juice	grape_juice	112
fly_17	D. simulans	04	female	noni juice vs grape juice	noni_juice	39
fly_17	D. simulans	04	female	noni juice vs grape juice	grape_juice	22
fly_18	D. simulans	04	female	noni juice vs grape juice	noni_juice	348
