date	fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
NA	fly_1	D. sechellia	07	female	noni juice vs grape juice	noni_juice	187
NA	fly_1	D. sechellia	07	female	noni juice vs grape juice	grape_juice	235
NA	fly_2	D. sechellia	07	female	noni juice vs grape juice	noni_juice	545
NA	fly_2	D. sechellia	07	female	noni juice vs grape juice	grape_juice	250
NA	fly_3	D. sechellia	07	female	noni juice vs grape juice	noni_juice	93
NA	fly_3	D. sechellia	07	female	noni juice vs grape juice	grape_juice	98
NA	fly_4	D. sechellia	07	female	noni juice vs grape juice	noni_juice	543
NA	fly_4	D. sechellia	07	female	noni juice vs grape juice	grape_juice	127
NA	fly_5	D. sechellia	07	female	noni juice vs grape juice	noni_juice	131
NA	fly_5	D. sechellia	07	female	noni juice vs grape juice	grape_juice	470
NA	fly_6	D. simulans	04	female	noni juice vs grape juice	noni_juice	78
NA	fly_6	D. simulans	04	female	noni juice vs grape juice	grape_juice	642
NA	fly_7	D. simulans	04	female	noni juice vs grape juice	noni_juice	156
NA	fly_7	D. simulans	04	female	noni juice vs grape juice	grape_juice	759
NA	fly_8	D. simulans	04	female	noni juice vs grape juice	noni_juice	399
NA	fly_8	D. simulans	04	female	noni juice vs grape juice	grape_juice	481
NA	fly_9	D. simulans	04	female	noni juice vs grape juice	noni_juice	133
NA	fly_9	D. simulans	04	female	noni juice vs grape juice	grape_juice	304
NA	fly_10	D. simulans	04	female	noni juice vs grape juice	noni_juice	371
NA	fly_10	D. simulans	04	female	noni juice vs grape juice	grape_juice	799
NA	fly_11	D. simulans	04	female	noni juice vs grape juice	noni_juice	295
NA	fly_11	D. simulans	04	female	noni juice vs grape juice	grape_juice	1276
NA	fly_12	D. sechellia	07	female	noni juice vs grape juice	noni_juice	133
NA	fly_12	D. sechellia	07	female	noni juice vs grape juice	grape_juice	77
NA	fly_13	D. sechellia	07	female	noni juice vs grape juice	noni_juice	164
NA	fly_13	D. sechellia	07	female	noni juice vs grape juice	grape_juice	47
NA	fly_14	D. sechellia	07	female	noni juice vs grape juice	noni_juice	117
NA	fly_14	D. sechellia	07	female	noni juice vs grape juice	grape_juice	12
NA	fly_15	D. sechellia	07	female	noni juice vs grape juice	noni_juice	143
NA	fly_15	D. sechellia	07	female	noni juice vs grape juice	grape_juice	70
NA	fly_16	D. simulans	04	female	noni juice vs grape juice	noni_juice	19
NA	fly_16	D. simulans	04	female	noni juice vs grape juice	grape_juice	112
NA	fly_17	D. simulans	04	female	noni juice vs grape juice	noni_juice	39
NA	fly_17	D. simulans	04	female	noni juice vs grape juice	grape_juice	22
NA	fly_18	D. simulans	04	female	noni juice vs grape juice	noni_juice	348
NA	fly_18	D. simulans	04	female	noni juice vs grape juice	grape_juice	155
NA	fly_19	D. simulans	04	female	noni juice vs grape juice	noni_juice	214
NA	fly_19	D. simulans	04	female	noni juice vs grape juice	grape_juice	136
NA	fly_20	D. simulans	04	female	noni juice vs grape juice	noni_juice	87
NA	fly_20	D. simulans	04	female	noni juice vs grape juice	grape_juice	280
NA	fly_21	D. simulans	04	female	noni juice vs grape juice	noni_juice	439
NA	fly_21	D. simulans	04	female	noni juice vs grape juice	grape_juice	416
NA	fly_22	D. simulans	04	female	noni juice vs grape juice	noni_juice	369
NA	fly_22	D. simulans	04	female	noni juice vs grape juice	grape_juice	596
NA	fly_23	D. simulans	04	female	noni juice vs grape juice	noni_juice	238
NA	fly_23	D. simulans	04	female	noni juice vs grape juice	grape_juice	307
NA	fly_24	D. simulans	04	female	noni juice vs grape juice	noni_juice	262
NA	fly_24	D. simulans	04	female	noni juice vs grape juice	grape_juice	248
NA	fly_25	D. simulans	04	female	noni juice vs grape juice	noni_juice	197
NA	fly_25	D. simulans	04	female	noni juice vs grape juice	grape_juice	195
NA	fly_26	D. simulans	04	female	noni juice vs grape juice	noni_juice	270
NA	fly_26	D. simulans	04	female	noni juice vs grape juice	grape_juice	367
NA	fly_27	D. sechellia	07	female	noni juice vs grape juice	noni_juice	70
NA	fly_27	D. sechellia	07	female	noni juice vs grape juice	grape_juice	38
NA	fly_28	D. sechellia	07	female	noni juice vs grape juice	noni_juice	10
NA	fly_28	D. sechellia	07	female	noni juice vs grape juice	grape_juice	77
