fly_id	species	genotype	sex	stimulation	ROI_quantified	stimulus	dff
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	denatonium benzoate 10mM	0.10944844574733924
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	grape juice	0.10252641189420458
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	water	0.05080771830112338
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	noni juice	0.2550629163851132
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	no stimulus	0.04628210621378167
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	sucrose 200mM	0.01767070131755993
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	denatonium benzoate 10mM	0.05743360685081265
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	grape juice	0.0874614787751121
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	water	0.03602097430772987
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	noni juice	0.1589982572407262
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	no stimulus	0.14696893172590758
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	sucrose 200mM	0.0452723966360188
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	denatonium benzoate 10mM	0.0033114496639294
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	grape juice	0.11288126697525554
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	water	0.0348573810329918
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	noni juice	0.13430960009462814
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	no stimulus	0.15443413304882023
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	sucrose 200mM	0.07413938145553282
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	denatonium benzoate 10mM	-0.03319522337797909
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	0.00479182640031906
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	water	-0.0051166566160363
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	0.121271241956637
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	no stimulus	-0.02236418952305444
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	sucrose 200mM	0.01932670496248665
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	denatonium benzoate 10mM	0.00889395376448939
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	grape juice	0.21239752515375365
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	water	0.11711067389203764
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	noni juice	0.33179804881366654
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	no stimulus	0.04238713643976056
fly_1	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	sucrose 200mM	0.12791604812461405
