fly_id	species	genotype	sex	stimulation	ROI_quantified	stimulus	dff
fly_1	D. sechellia	w*;Gr66a-GAL4/+	female	labellum	PMS4	caffeine 10mM	-0.04871853448333145
fly_1	D. sechellia	w*;Gr66a-GAL4/+	female	labellum	PMS4	grape juice	0.19436619718309855
fly_1	D. sechellia	w*;Gr66a-GAL4/+	female	labellum	PMS4	water	0.12287491324901104
fly_1	D. sechellia	w*;Gr66a-GAL4/+	female	labellum	PMS4	noni juice	2.380483207676491
fly_2	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	caffeine 10mM	1.048493543758967
fly_2	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	grape juice	0.2221111918604651
fly_2	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	water	-0.02811540002671295
fly_2	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	noni juice	0.00340367597004767
fly_3	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	caffeine 10mM	1.1579055410859496
fly_3	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	grape juice	0.4090072789835125
fly_3	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	water	0.1735926908340702
fly_3	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	noni extract	0.1207946171099006
fly_3	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	noni juice	0.2846776809939467
fly_4	D. sechellia	w*;Gr64f-GAL4/+	female	labellum	PMS4	grape juice	7.9527777777777775
fly_4	D. sechellia	w*;Gr64f-GAL4/+	female	labellum	PMS4	water	1.884267631103074
fly_4	D. sechellia	w*;Gr64f-GAL4/+	female	labellum	PMS4	hexanoic acid 0.5%	7.120892018779342
fly_4	D. sechellia	w*;Gr64f-GAL4/+	female	labellum	PMS4	noni extract	3.7318965517241383
fly_4	D. sechellia	w*;Gr64f-GAL4/+	female	labellum	PMS4	noni juice	7.820126354305807
fly_4	D. sechellia	w*;Gr64f-GAL4/+	female	labellum	PMS4	octanoic acid 0.1%	3.3513513513513513
fly_5	D. melanogaster	w*;Gr64f-GAL4/+	female	labellum	PMS4	grape juice	2.568323276106295
fly_5	D. melanogaster	w*;Gr64f-GAL4/+	female	labellum	PMS4	water	0.03855659911023234
fly_5	D. melanogaster	w*;Gr64f-GAL4/+	female	labellum	PMS4	hexanoic acid 0.5%	1.3491144414168934
fly_5	D. melanogaster	w*;Gr64f-GAL4/+	female	labellum	PMS4	noni extract	2.3791691047396135
fly_5	D. melanogaster	w*;Gr64f-GAL4/+	female	labellum	PMS4	noni juice	3.975848370749266
fly_5	D. melanogaster	w*;Gr64f-GAL4/+	female	labellum	PMS4	octanoic acid 0.1%	0.5555555555555556
fly_6	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	caffeine 10mM	1.9787113255747943
fly_6	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	grape juice	0.3419065596979708
fly_6	D. melanogaster	w*;Gr66a-GAL4/+	female	labellum	PMS4	water	0.32261586993448194
